transaction_hour,transaction_time_period,total_transactions,fraud_transactions,fraud_rate
0,Night,417,37,8.87
1,Night,425,34,8.00
2,Night,385,23,5.97
3,Night,425,27,6.35
4,Night,384,1,0.26
5,Night,419,2,0.48
6,Morning,413,2,0.48
7,Morning,425,0,0.00
8,Morning,424,3,0.71
9,Morning,426,1,0.23
10,Morning,358,1,0.28
11,Morning,385,2,0.52
12,Afternoon,417,0,0.00
13,Afternoon,420,2,0.48
14,Afternoon,458,1,0.22
15,Afternoon,432,2,0.46
16,Afternoon,421,0,0.00
17,Afternoon,429,2,0.47
18,Evening,439,1,0.23
19,Evening,421,4,0.95
20,Evening,419,2,0.48
21,Evening,423,1,0.24
22,Evening,416,0,0.00
23,Evening,419,3,0.72
