transaction_id,amount,merchant_category,transaction_hour,transaction_time_period,age_group,device_risk_category,velocity_category,transaction_location,location_status,device_trust_score,velocity_last_24h
9392,1185.07,Travel,0,Night,46-55,"Low Risk","Low Velocity",Foreign,"Location Matched",98,3
2530,1103.19,Electronics,1,Night,26-35,"High Risk","Low Velocity",Domestic,"Location Matched",36,0
6452,1036.82,Electronics,0,Night,18-25,"High Risk","Low Velocity",Domestic,"Location Matched",28,0
1728,1028.32,Grocery,1,Night,36-45,"High Risk","Low Velocity",Domestic,"Location Matched",27,2
1334,1009.55,Grocery,2,Night,26-35,"High Risk","Low Velocity",Domestic,"Location Matched",37,0
1105,950.41,Travel,1,Night,56+,"Low Risk","Low Velocity",Domestic,"Location Mismatch",70,2
1425,776.66,Grocery,3,Night,56+,"High Risk","Medium Velocity",Foreign,"Location Matched",32,4
5699,745.34,Food,0,Night,36-45,"Low Risk","Medium Velocity",Foreign,"Location Matched",76,5
5427,737.06,Food,0,Night,46-55,"Medium Risk","Medium Velocity",Domestic,"Location Mismatch",65,5
8041,701.79,Travel,2,Night,18-25,"Low Risk","Low Velocity",Foreign,"Location Mismatch",94,1
2123,614.72,Grocery,8,Morning,36-45,"High Risk","Medium Velocity",Foreign,"Location Matched",36,6
5407,611.98,Grocery,13,Afternoon,46-55,"High Risk","Low Velocity",Foreign,"Location Mismatch",31,0
1701,607.71,Clothing,3,Night,36-45,"High Risk","Low Velocity",Domestic,"Location Mismatch",25,1
7153,590.37,Grocery,1,Night,56+,"High Risk","Low Velocity",Foreign,"Location Matched",37,1
1624,569.02,Food,1,Night,36-45,"Medium Risk","Low Velocity",Foreign,"Location Mismatch",49,2
3077,527.84,Food,2,Night,46-55,"High Risk","Low Velocity",Foreign,"Location Matched",30,0
8128,488.21,Electronics,1,Night,26-35,"High Risk","Low Velocity",Domestic,"Location Mismatch",25,1
1635,471.55,Food,2,Night,56+,"High Risk","Low Velocity",Domestic,"Location Mismatch",27,3
5770,437.9,Travel,3,Night,46-55,"High Risk","Low Velocity",Foreign,"Location Matched",30,3
5153,431.1,Clothing,3,Night,36-45,"High Risk","Low Velocity",Domestic,"Location Mismatch",28,3
