transaction_id,amount,transaction_hour,merchant_category,foreign_transaction,location_mismatch,device_trust_score,velocity_last_24h,cardholder_age,is_fraud,fraud_status,transaction_time_period,amount_category,age_group,device_risk_category,velocity_category,transaction_location,location_status
1,84.47,22,Electronics,0,0,66,3,40,0,Legitimate,Evening,Medium,36-45,"Medium Risk","Low Velocity",Domestic,"Location Matched"
2,541.82,3,Travel,1,0,87,1,64,0,Legitimate,Night,"Very High",56+,"Low Risk","Low Velocity",Foreign,"Location Matched"
3,237.01,17,Grocery,0,0,49,1,61,0,Legitimate,Afternoon,High,56+,"Medium Risk","Low Velocity",Domestic,"Location Matched"
4,164.33,4,Grocery,0,1,72,3,34,0,Legitimate,Night,Medium,26-35,"Low Risk","Low Velocity",Domestic,"Location Mismatch"
5,30.53,15,Food,0,0,79,0,44,0,Legitimate,Afternoon,Low,36-45,"Low Risk","Low Velocity",Domestic,"Location Matched"
6,30.53,13,Clothing,0,0,90,2,46,0,Legitimate,Afternoon,Low,46-55,"Low Risk","Low Velocity",Domestic,"Location Matched"
7,10.77,18,Travel,0,0,48,1,28,0,Legitimate,Evening,Low,26-35,"Medium Risk","Low Velocity",Domestic,"Location Matched"
8,362.02,13,Electronics,0,0,68,1,40,0,Legitimate,Afternoon,High,36-45,"Medium Risk","Low Velocity",Domestic,"Location Matched"
9,165.43,8,Grocery,0,0,80,0,21,0,Legitimate,Morning,Medium,18-25,"Low Risk","Low Velocity",Domestic,"Location Matched"
10,221.63,5,Grocery,0,0,59,1,34,0,Legitimate,Night,High,26-35,"Medium Risk","Low Velocity",Domestic,"Location Matched"
11,3.74,16,Grocery,0,0,58,2,28,0,Legitimate,Afternoon,Low,26-35,"Medium Risk","Low Velocity",Domestic,"Location Matched"
12,630.64,18,Clothing,0,0,30,4,25,0,Legitimate,Evening,"Very High",18-25,"High Risk","Medium Velocity",Domestic,"Location Matched"
13,321.56,11,Clothing,0,0,73,4,68,0,Legitimate,Morning,High,56+,"Low Risk","Medium Velocity",Domestic,"Location Matched"
14,42.96,3,Travel,0,0,40,2,43,0,Legitimate,Night,Low,36-45,"Medium Risk","Low Velocity",Domestic,"Location Matched"
15,36.12,15,Electronics,0,0,37,2,69,0,Legitimate,Afternoon,Low,56+,"High Risk","Low Velocity",Domestic,"Location Matched"
16,36.47,10,Clothing,0,0,36,2,66,0,Legitimate,Morning,Low,56+,"High Risk","Low Velocity",Domestic,"Location Matched"
17,65.3,21,Food,0,0,35,1,25,0,Legitimate,Evening,Medium,18-25,"High Risk","Low Velocity",Domestic,"Location Matched"
18,133.91,3,Clothing,0,0,71,2,25,0,Legitimate,Night,Medium,18-25,"Low Risk","Low Velocity",Domestic,"Location Matched"
19,101.8,16,Grocery,1,0,84,3,24,0,Legitimate,Afternoon,Medium,18-25,"Low Risk","Low Velocity",Foreign,"Location Matched"
20,61.96,7,Electronics,0,0,73,2,68,0,Legitimate,Morning,Medium,56+,"Low Risk","Low Velocity",Domestic,"Location Matched"
21,170.35,13,Travel,0,0,76,4,51,0,Legitimate,Afternoon,Medium,46-55,"Low Risk","Medium Velocity",Domestic,"Location Matched"
22,27.04,1,Clothing,0,0,85,1,49,0,Legitimate,Night,Low,46-55,"Low Risk","Low Velocity",Domestic,"Location Matched"
23,62.19,10,Grocery,0,0,64,2,30,0,Legitimate,Morning,Medium,26-35,"Medium Risk","Low Velocity",Domestic,"Location Matched"
24,82.13,10,Food,0,0,95,2,53,0,Legitimate,Morning,Medium,46-55,"Low Risk","Low Velocity",Domestic,"Location Matched"
25,109.61,23,Food,0,0,99,2,35,0,Legitimate,Evening,Medium,26-35,"Low Risk","Low Velocity",Domestic,"Location Matched"
26,276.83,21,Travel,1,0,77,3,30,0,Legitimate,Evening,High,26-35,"Low Risk","Low Velocity",Foreign,"Location Matched"
27,40.09,23,Travel,0,0,85,1,47,0,Legitimate,Evening,Low,46-55,"Low Risk","Low Velocity",Domestic,"Location Matched"
28,129.97,5,Clothing,0,0,46,1,18,0,Legitimate,Night,Medium,18-25,"Medium Risk","Low Velocity",Domestic,"Location Matched"
29,161.55,20,Travel,0,0,62,3,52,0,Legitimate,Evening,Medium,46-55,"Medium Risk","Low Velocity",Domestic,"Location Matched"
30,8.56,20,Grocery,0,0,85,1,20,0,Legitimate,Evening,Low,18-25,"Low Risk","Low Velocity",Domestic,"Location Matched"
31,168.36,13,Grocery,0,0,71,2,47,0,Legitimate,Afternoon,Medium,46-55,"Low Risk","Low Velocity",Domestic,"Location Matched"
32,33.65,9,Grocery,0,0,51,2,65,0,Legitimate,Morning,Low,56+,"Medium Risk","Low Velocity",Domestic,"Location Matched"
33,12.11,7,Clothing,0,0,42,3,42,0,Legitimate,Morning,Low,36-45,"Medium Risk","Low Velocity",Domestic,"Location Matched"
34,535.26,6,Clothing,0,0,44,7,50,0,Legitimate,Morning,"Very High",46-55,"Medium Risk","Medium Velocity",Domestic,"Location Matched"
35,606.71,7,Travel,0,0,66,5,33,0,Legitimate,Morning,"Very High",26-35,"Medium Risk","Medium Velocity",Domestic,"Location Matched"
36,297.42,7,Clothing,0,0,65,2,66,0,Legitimate,Morning,High,56+,"Medium Risk","Low Velocity",Domestic,"Location Matched"
37,65.39,22,Grocery,0,0,96,1,20,0,Legitimate,Evening,Medium,18-25,"Low Risk","Low Velocity",Domestic,"Location Matched"
38,18.5,1,Electronics,0,0,82,2,64,0,Legitimate,Night,Low,56+,"Low Risk","Low Velocity",Domestic,"Location Matched"
39,207.5,15,Grocery,0,0,64,1,46,0,Legitimate,Afternoon,High,46-55,"Medium Risk","Low Velocity",Domestic,"Location Matched"
40,104.42,8,Electronics,0,0,99,1,31,0,Legitimate,Morning,Medium,26-35,"Low Risk","Low Velocity",Domestic,"Location Matched"
41,23.43,12,Travel,0,0,54,1,60,0,Legitimate,Afternoon,Low,56+,"Medium Risk","Low Velocity",Domestic,"Location Matched"
